PlayerID,FirstName,LastName,TeamID,Team,Jersey,Position,Class,Height,Weight
60023491,Abdoulaye,Thiam,85,HPNT,11,G,Sophomore,75,180
60023492,Treyton,Thompson,104,MINNST,42,C,Sophomore,83,210
60023493,Kobe,Jerome,120,UCRVS,3,G,Freshman,76,190
60023494,Ryan,Conway,127,TOWS,0,G,Freshman,73,190
60023495,Tyler,Powell,216,NEVADA,1,G,Sophomore,77,220
60023496,Brandon,Weston,50,RI,20,G,Freshman,77,200
60023497,Malcolm,Dread,52,RICH,12,G,Freshman,76,210
60023498,Jason,Nelson,52,RICH,1,G,Freshman,70,175
60023499,Liam,Weaver,52,RICH,10,G,Sophomore,74,190
60023500,Lassina,Traore,117,LBST,23,F,Sophomore,82,230
60023501,Lynn,Greer III,46,STJOE,5,G,Sophomore,74,190
60023502,DaRon,Holmes II,44,DAY,15,F,Sophomore,82,225
60023503,Malachi,Smith,44,DAY,11,G,Sophomore,72,180
60023504,Kaleb,Washington,44,DAY,10,F,Sophomore,79,190
60023505,Breon,Pass,33,NCST,10,G,Sophomore,72,175
60023506,Ernest,Ross,33,NCST,24,F,Sophomore,81,190
60023507,Terquavion,Smith,33,NCST,0,G,Sophomore,76,165
60023508,Chris,Howell,335,STMRY,15,G,Freshman,78,195
60023509,Augustas,Marciulionis,335,STMRY,3,G,Sophomore,76,195
60023510,Keaton,Kutcher,321,SDAK,22,G,Sophomore,74,
60023511,Ty,Walker,321,SDAK,1,G,Freshman,72,
60023512,David,Elliott IV,,,4,G,Freshman,75,0
60023513,Lamaj,Lewis,343,LOYMRY,13,G,Sophomore,78,200
60023514,James,Nobles,343,LOYMRY,14,G,Freshman,76,170
60023515,Montez,Young Jr.,325,TXA,24,F,Sophomore,77,192
60023516,Mike,James,24,LOU,1,G,Freshman,77,215
60023517,Roosevelt,Wheeler,24,LOU,4,F,Sophomore,83,240
60023518,Paolo,Banchero,,,5,F,Freshman,82,0
60023519,Jaylen,Blakes,26,DUKE,2,G,Sophomore,74,200
60023520,AJ,Griffin,,,,G,Freshman,78,
60023521,Trevor,Keels,,,1,G,Freshman,76,0
60023522,Cesare,Edwards,59,XAV,4,F,Sophomore,81,225
60023523,Elijah,Tucker,59,XAV,34,F,Sophomore,80,225
60023524,TJ,Gadsden,172,CANS,21,G,Sophomore,79,195
60023525,Mike,Gray,,,11,G,Freshman,74,0
60023526,Blake,Jones,56,GMSN,24,F,Sophomore,82,200
60023527,Chase,Tucker,56,GMSN,30,G,Sophomore,73,165
60023528,Chris,Ford,230,ROBMS,23,G,Sophomore,77,200
60023529,Styrmir,Thrastarson,49,DAVID,34,G,Sophomore,79,210
60023530,Desmond,Watson,49,DAVID,4,G,Sophomore,77,205
60023531,Rafael,Castro,63,PROV,30,F,Freshman,83,220
60023532,Luke,Fonts,63,PROV,24,G,Sophomore,73,190
60023533,Legend,Geeter,187,EMICH,23,F,Sophomore,79,230
60023534,Kieran,O'Haire,63,PROV,33,F,Sophomore,74,190
60023535,Cameron,Brown,65,MARQ,55,G,Sophomore,73,195
60023536,Emarion,Ellis,65,MARQ,2,G,Sophomore,77,200
60023537,Keeyan,Itejere,65,MARQ,40,F,Freshman,81,215
60023538,Kam,Jones,65,MARQ,1,G,Sophomore,76,195
60023539,David,Joplin,65,MARQ,23,F,Sophomore,79,220
60023540,Stevie,Mitchell,65,MARQ,4,G,Sophomore,74,195
60023541,AJ,Burgin,72,IDHST,0,G,Sophomore,75,205
60023542,Louis,Stormark,72,IDHST,44,C,Freshman,81,250
60023543,Pablo,Tamba,,,24,G,Freshman,78,0
60023544,Alex,Germer,74,MONST,4,F,Freshman,80,190
60023545,Sam,Lecholat,74,MONST,25,F,Sophomore,79,215
60023546,Patrick,McMahon,74,MONST,1,G,Sophomore,79,190
60023547,Great,Osobor,74,MONST,3,F,Sophomore,80,245
60023549,Isaac,Spears,122,CALPOL,10,G,Sophomore,76,170
60023550,Andrew,McConnell,,,3,G,Freshman,72,0
60023551,Devon,Savage,817,MERRI,5,G,Sophomore,76,190
60023552,Jaylen,Stinson,817,MERRI,1,G,Sophomore,74,170
60023553,Griffin,Barrouk,128,HOFST,12,G,Freshman,77,204
60023554,Jaquan,Carlos,128,HOFST,11,G,Sophomore,72,185
60023555,Amar'e,Marshall,128,HOFST,24,G,Freshman,76,207
60023556,Christian,Tomasco,128,HOFST,33,F,Freshman,81,190
60023557,Tre,Carroll,145,FLATL,25,F,Freshman,79,227
60023558,Bogdan,Zimonjic,234,TENTCH,33,G,Sophomore,77,190
60023559,Jabari,Smith,,,10,F,Freshman,82,0
60023560,Kordell,Charles,282,ETNST,20,F,Sophomore,80,205
60023561,Isaac,Farah,,,24,F,Freshman,79,0
60023562,Cameron,George,282,ETNST,15,G,Sophomore,75,185
60023564,Matt,Nunez,,,21,C,Freshman,82,0
60023565,Allen,Strothers,282,ETNST,5,G,Freshman,73,170
60023566,Mohab,Yasser,,,1,G,Freshman,77,0
60023567,Jackson,Price,288,CITA,0,F,Sophomore,80,240
60023568,Jason,Roche,52,RICH,11,G,Sophomore,77,180
60023569,Brock,Wakefield,,,10,G,Freshman,75,0
60023570,Honor,Huff,281,CHAT,3,G,Sophomore,70,155
60023571,Lewis,Rowe,,,12,C,Freshman,82,0
60023572,Cooper,Sisco,290,VAMIL,15,G,Sophomore,77,185
60023573,Brennan,Watkins,290,VAMIL,1,G,Sophomore,71,162
60023574,Javier,Esquerra Trelles,,,1,G,Freshman,73,0
60023575,Rob,Taylor II,223,WAG,24,F,Sophomore,79,220
60023576,Zaire,Williams,223,WAG,12,G,Sophomore,76,190
60023577,Deraje,Agbaosi,396,NAL,23,F,Sophomore,79,215
60023578,Omar,Figueroa,,,4,G,Freshman,72,0
60023579,Pape,Momar Cisse,,,35,F,Freshman,82,0
60023580,Daniel,Ortiz,396,NAL,2,G,Sophomore,72,187
60023581,Dola,Adebayo,226,MSTM,4,F,Freshman,80,210
60023583,Jedy,Cordilia,226,MSTM,12,F,Sophomore,81,210
60023585,Jaylin,Gibson,226,MSTM,3,G,Sophomore,76,205
60023586,Troy,D'Amico,205,SILL,23,F,Sophomore,79,210
60023587,Scottie,Ebube,205,SILL,2,C,Freshman,82,265
60023589,Foster,Wonders,205,SILL,0,G,Freshman,77,205
60023590,Keshon,Gilbert,218,UNLV,10,G,Sophomore,76,190
60023591,Max,Ekono,210,BRADLY,2,G,Sophomore,79,210
60023592,Cade,Hardtke,210,BRADLY,12,G,Sophomore,74,185
60023593,Sam,Hennessy,210,BRADLY,13,G,Sophomore,74,185
60023594,Connor,Hickman,210,BRADLY,10,G,Sophomore,75,195
60023595,Zek,Montgomery,210,BRADLY,3,G,Sophomore,78,210
60023596,Robert,Vaihola,222,SJST,22,F,Sophomore,80,245
60023597,Marr,Avance,,,24,G,Freshman,73,178
60023598,Curtis,Harrison IV,182,MIAOH,35,F,Sophomore,79,225
60023599,Rollin,Belton,176,MARIST,1,C,Sophomore,80,220
60023600,Noah,Harris,176,MARIST,2,G,Sophomore,73,175
60023601,Jao,Ituka,34,WAKE,10,G,Sophomore,73,196
60023602,Tahron,Allen,166,MONM,20,G,Sophomore,76,205
60023603,Tadhg,Crowley,166,MONM,15,C,Sophomore,82,240
60023604,Jayden,Doyle,166,MONM,1,G,Sophomore,76,190
60023605,Sam,Fagan,166,MONM,30,G,Sophomore,73,170
60023606,Walter,Clayton Jr.,167,IONA,1,G,Sophomore,74,195
60023607,Joshua,Duach,,,5,G,Freshman,77,0
60023608,Jordan,Wildy,,,22,F,Freshman,81,0
60023609,Jared,Billups,168,SIENA,1,G,Sophomore,76,200
60023610,Javian,McCollum,168,SIENA,2,G,Sophomore,74,155
60023611,Taihland,Owens,168,SIENA,23,G,Sophomore,78,188
60023613,Coltie,Young,306,JACKST,4,G,Sophomore,75,201
60023614,AJ,Allenspach,263,ARMY,55,F,Sophomore,80,225
60023615,Blake,Barker,263,ARMY,31,G,Sophomore,74,200
60023616,Luke,Benson,263,ARMY,42,G,Sophomore,71,170
60023617,Isaiah,Caldwell,263,ARMY,0,G,Sophomore,76,163
60023618,JT,Dougherty,263,ARMY,33,F,Sophomore,81,205
60023619,Griff,Lamb,263,ARMY,5,F,Sophomore,80,205
60023620,Nolan,Naess,263,ARMY,41,F,Sophomore,80,197
60023621,TJ,Small,263,ARMY,35,G,Sophomore,74,188
60023622,Blane,St.Clair,263,ARMY,12,G,Sophomore,77,202
60023623,Lazar,Stefanovic,248,UTAH,20,G,Sophomore,79,186
60023625,Brody,Parker,149,OAK,14,G,Sophomore,72,175
60023626,Osei,Price,149,OAK,13,G,Sophomore,76,188
60023627,Will,Shepherd,149,OAK,2,F,Sophomore,80,220
60023628,Darius,Sherman,149,OAK,24,G,Sophomore,74,178
60023629,Kezza,Giffa,,,4,G,Freshman,74,0
60023630,Terrence,Butler,132,DREXEL,24,F,Sophomore,79,235
60023631,Cole,Despie,114,TCU,35,G,Sophomore,75,180
60023632,Darius,Ford,114,TCU,30,G,Sophomore,70,142
60023633,Jaylani,Darden,87,LONGWD,5,G,Sophomore,77,185
60023634,Trey,Hicks,87,LONGWD,21,F,Sophomore,80,210
60023635,Ga'Khari,LaCount,,,22,G,Freshman,73,0
60023636,Tamar,Bates,93,IND,53,G,Sophomore,77,190
60023637,Shaan,Burke,93,IND,13,G,Sophomore,77,185
60023638,Logan,Duncomb,93,IND,51,C,Sophomore,82,235
60023639,Luke,Brown,,,25,G-F,Freshman,73,0
60023640,Tasos,Cook,,,3,G,Freshman,74,0
60023641,Alex,Crawford,41,STETSN,24,F,Sophomore,79,187
60023642,Aubin,Gateretse,41,STETSN,21,F,Sophomore,83,210
60023644,Alvin,Tumblin,41,STETSN,35,F,Sophomore,79,205
60023645,CJ,Anthony,4,CIN,11,G,Sophomore,72,195
60023647,Jacob,Holt,341,SANCLR,15,F,Sophomore,81,235
60023648,Brenton,Knapper,341,SANCLR,0,G,Freshman,72,170
60023649,Carlos,Stewart,341,SANCLR,1,G,Sophomore,73,185
