PeriodID,GameID,Number,Name,Type,AwayScore,HomeScore
71602,42772,2,2,Half,22,50
71603,38270,2,2,Half,42,43
71604,40346,2,2,Half,37,37
71605,37267,2,2,Half,39,44
71606,36638,2,2,Half,30,44
71607,40345,2,2,Half,37,31
71608,40344,2,2,Half,33,43
71609,37266,2,2,Half,32,30
71610,40343,2,2,Half,30,39
71611,41976,1,1,Half,24,34
71612,37265,2,2,Half,40,36
71613,38269,2,2,Half,30,32
71614,37268,2,2,Half,31,34
71615,40347,2,2,Half,46,45
71616,37266,3,OT,Overtime,12,6
71617,40346,3,OT,Overtime,17,10
71618,41976,2,2,Half,27,30
71619,36637,1,1,Half,42,26
71620,36637,2,2,Half,44,48
71621,41977,1,1,Half,37,36
71622,41977,2,2,Half,36,41
71623,41980,1,1,Half,28,28
71624,38286,1,1,Half,34,36
71625,38292,1,1,Half,33,13
71626,36644,1,1,Half,30,31
71627,38774,1,1,Half,22,36
71628,38277,1,1,Half,45,20
71629,38773,1,1,Half,33,31
71630,37282,1,1,Half,34,23
71631,41978,1,1,Half,37,40
71632,37296,1,1,Half,25,33
71633,37282,2,2,Half,38,27
71634,36644,2,2,Half,35,37
71635,41981,1,1,Half,31,41
71636,37294,1,1,Half,28,31
71637,38293,1,1,Half,38,26
71638,37887,1,1,Half,35,40
71639,38276,1,1,Half,26,30
71640,37273,1,1,Half,41,37
71641,38774,2,2,Half,37,43
71642,38292,2,2,Half,27,28
71643,38277,2,2,Half,43,26
71644,41980,2,2,Half,38,32
71645,37290,1,1,Half,33,29
71646,37278,1,1,Half,32,44
71647,38773,2,2,Half,30,37
71648,38286,2,2,Half,31,42
71649,41978,2,2,Half,48,34
71650,37296,2,2,Half,38,28
71651,41981,2,2,Half,43,39
71652,37273,2,2,Half,37,37
71653,41135,1,1,Half,18,40
71654,37294,2,2,Half,14,30
71655,37887,2,2,Half,40,33
71656,38274,1,1,Half,52,31
71657,38273,1,1,Half,37,32
71658,38272,1,1,Half,41,41
71659,41982,1,1,Half,36,32
71660,41129,1,1,Half,37,37
71661,40350,1,1,Half,33,30
71662,40362,1,1,Half,36,26
71663,37279,1,1,Half,30,32
71664,41984,1,1,Half,28,31
71665,40365,1,1,Half,32,25
71666,37286,1,1,Half,41,40
71667,38293,2,2,Half,30,35
71668,38276,2,2,Half,35,37
71669,36639,1,1,Half,31,17
71670,37280,1,1,Half,34,28
71671,37270,1,1,Half,24,31
71672,37885,1,1,Half,26,30
71673,38772,1,1,Half,43,19
71674,38287,1,1,Half,27,25
71675,37290,2,2,Half,38,51
71676,37278,2,2,Half,45,36
71677,38281,1,1,Half,35,38
71678,37297,1,1,Half,25,24
71679,41135,2,2,Half,47,25
71680,40362,2,2,Half,28,38
71681,37279,2,2,Half,35,33
71682,38272,2,2,Half,43,39
71683,37286,2,2,Half,41,35
71684,37881,1,1,Half,32,32
